rs1,rs2,as,ssd
0.875,0.875,0.27906976744186046,1.2686114456365274
0.75,0.75,0.12903225806451613,2.680951323690902
0.75,0.75,0.3333333333333333,1.0897247358851685
0.75,0.75,0.3103448275862069,1.8027756377319946
0.75,0.75,0.36363636363636365,3.897114317029974
0.5,0.5,0.3870967741935484,4.387482193696061
0.5,0.5,0.3333333333333333,4.123105625617661
1.0,1.0,0.375,1.299038105676658
1.0,1.0,0.3333333333333333,0.0
1.0,1.0,0.47058823529411764,3.5
1.0,1.0,0.6666666666666666,0.0
1.0,1.0,0.3125,0.5
1.0,1.0,0.2631578947368421,0.5
1.0,1.0,0.2857142857142857,0.5
1.0,1.0,0.375,1.5
1.0,1.0,0.42857142857142855,1.0
0.85,0.85,0.4225352112676056,3.207802986469088
1.0,0.7,0.23333333333333334,2.286372673034735
0.9375,0.75,0.297029702970297,2.680951323690902
1.0,0.8125,0.34545454545454546,2.345207879911715
0.8125,0.75,0.3712121212121212,5.599944196150529
0.9375,0.8125,0.3425925925925926,3.181366648156103
0.75,0.5,0.36585365853658536,3.741135355744296
1.0,0.6875,0.336283185840708,2.4929588343973914
1.0,0.75,0.22115384615384615,4.512136411945011
